audio_path,frame_dir,num_frames
../epic_clips_data/audio/train/P21/P21_03_57.mp3,../epic_clips_data/frames/train/P21/P21_03_57,57
../epic_clips_data/audio/train/P21/P21_03_62.mp3,../epic_clips_data/frames/train/P21/P21_03_62,30
../epic_clips_data/audio/train/P21/P21_04_59.mp3,../epic_clips_data/frames/train/P21/P21_04_59,98
../epic_clips_data/audio/train/P21/P21_04_25.mp3,../epic_clips_data/frames/train/P21/P21_04_25,143
../epic_clips_data/audio/train/P21/P21_01_2.mp3,../epic_clips_data/frames/train/P21/P21_01_2,25
../epic_clips_data/audio/train/P21/P21_01_58.mp3,../epic_clips_data/frames/train/P21/P21_01_58,26
../epic_clips_data/audio/train/P21/P21_03_22.mp3,../epic_clips_data/frames/train/P21/P21_03_22,44
../epic_clips_data/audio/train/P21/P21_03_73.mp3,../epic_clips_data/frames/train/P21/P21_03_73,36
../epic_clips_data/audio/train/P21/P21_03_48.mp3,../epic_clips_data/frames/train/P21/P21_03_48,254
../epic_clips_data/audio/train/P21/P21_03_75.mp3,../epic_clips_data/frames/train/P21/P21_03_75,26
../epic_clips_data/audio/train/P21/P21_01_28.mp3,../epic_clips_data/frames/train/P21/P21_01_28,30
../epic_clips_data/audio/train/P21/P21_01_27.mp3,../epic_clips_data/frames/train/P21/P21_01_27,31
../epic_clips_data/audio/train/P21/P21_01_16.mp3,../epic_clips_data/frames/train/P21/P21_01_16,51
../epic_clips_data/audio/train/P21/P21_03_41.mp3,../epic_clips_data/frames/train/P21/P21_03_41,45
../epic_clips_data/audio/train/P21/P21_04_7.mp3,../epic_clips_data/frames/train/P21/P21_04_7,60
../epic_clips_data/audio/train/P21/P21_01_10.mp3,../epic_clips_data/frames/train/P21/P21_01_10,33
../epic_clips_data/audio/train/P21/P21_04_30.mp3,../epic_clips_data/frames/train/P21/P21_04_30,48
../epic_clips_data/audio/train/P21/P21_03_65.mp3,../epic_clips_data/frames/train/P21/P21_03_65,39
../epic_clips_data/audio/train/P21/P21_01_26.mp3,../epic_clips_data/frames/train/P21/P21_01_26,134
../epic_clips_data/audio/train/P21/P21_04_37.mp3,../epic_clips_data/frames/train/P21/P21_04_37,34
../epic_clips_data/audio/train/P21/P21_04_20.mp3,../epic_clips_data/frames/train/P21/P21_04_20,60
../epic_clips_data/audio/train/P21/P21_01_34.mp3,../epic_clips_data/frames/train/P21/P21_01_34,44
../epic_clips_data/audio/train/P21/P21_04_69.mp3,../epic_clips_data/frames/train/P21/P21_04_69,58
../epic_clips_data/audio/train/P21/P21_04_62.mp3,../epic_clips_data/frames/train/P21/P21_04_62,161
../epic_clips_data/audio/train/P21/P21_03_29.mp3,../epic_clips_data/frames/train/P21/P21_03_29,56
../epic_clips_data/audio/train/P21/P21_03_23.mp3,../epic_clips_data/frames/train/P21/P21_03_23,100
../epic_clips_data/audio/train/P21/P21_03_16.mp3,../epic_clips_data/frames/train/P21/P21_03_16,92
../epic_clips_data/audio/train/P21/P21_04_21.mp3,../epic_clips_data/frames/train/P21/P21_04_21,37
../epic_clips_data/audio/train/P21/P21_03_30.mp3,../epic_clips_data/frames/train/P21/P21_03_30,26
../epic_clips_data/audio/train/P21/P21_04_51.mp3,../epic_clips_data/frames/train/P21/P21_04_51,75
../epic_clips_data/audio/train/P21/P21_03_52.mp3,../epic_clips_data/frames/train/P21/P21_03_52,61
../epic_clips_data/audio/train/P21/P21_03_36.mp3,../epic_clips_data/frames/train/P21/P21_03_36,34
../epic_clips_data/audio/train/P21/P21_01_12.mp3,../epic_clips_data/frames/train/P21/P21_01_12,31
../epic_clips_data/audio/train/P21/P21_03_5.mp3,../epic_clips_data/frames/train/P21/P21_03_5,33
../epic_clips_data/audio/train/P21/P21_04_45.mp3,../epic_clips_data/frames/train/P21/P21_04_45,109
../epic_clips_data/audio/train/P21/P21_03_27.mp3,../epic_clips_data/frames/train/P21/P21_03_27,32
